Strain	Variant category	Clade	Country	Division	Epidemiological Week	Location	originating_lab	Lineage	Region	submitting_lab	Collection Data	Author	Accession	url
USA/CT-JAX000562/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-25	GLab team	[object Object]	
USA/CT-Yale-4046/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-12	GLab team	[object Object]	
USA/CT-JAX000738/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	Fairfield	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-31	GLab team	[object Object]	
USA/CT-JAX000678/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-31	GLab team	[object Object]	
USA/CT-JAX001302/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW18	Hartford	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-05	GLab team	[object Object]	
USA/CT-JAX001179/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-21	GLab team	[object Object]	
USA/CT-Yale-3400/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-01	GLab team	[object Object]	
USA/CT-JAX000873/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	Hartford	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-05	GLab team	[object Object]	
USA/CT-JAX001063/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-15	GLab team	[object Object]	
USA/CT-JAX001183/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-23	GLab team	[object Object]	
USA/CT-JAX001259/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	Fairfield	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-28	GLab team	[object Object]	
USA/CT-JAX001300/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW18	Fairfield	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-03	GLab team	[object Object]	
USA/CT-Yale-4222/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	Fairfield	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-20	GLab team	[object Object]	
USA/CT-JAX000654/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	Fairfield	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-01	GLab team	[object Object]	
USA/CT-JAX001066/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-15	GLab team	[object Object]	
USA/CT-JAX001023/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-13	GLab team	[object Object]	
USA/CT-Yale-4684/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW18	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-04	GLab team	[object Object]	
USA/CT-Yale-4825/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW18	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-06	GLab team	[object Object]	
USA/CT-Yale-3625/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-07	GLab team	[object Object]	
USA/CT-Yale-3747/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-07	GLab team	[object Object]	
USA/CT-Yale-3626/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-07	GLab team	[object Object]	
USA/CT-Yale-3624/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-07	GLab team	[object Object]	
USA/CT-Yale-3130/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	Middlesex	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-25	GLab team	[object Object]	
USA/CT-JAX000642/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-31	GLab team	[object Object]	
USA/CT-Yale-1246/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW02	Litchfield	Connecticut DPH	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-01-15	GLab team	[object Object]	
USA/CT-Yale-3517/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-05	GLab team	[object Object]	
USA/CT-Yale-1555/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW04	New Haven	Connecticut DPH	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-01-29	GLab team	[object Object]	
USA/CT-Yale-1914/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW08	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-02-21	GLab team	[object Object]	
USA/CT-Yale-1554/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW05	New Haven	Connecticut DPH	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-02-02	GLab team	[object Object]	
USA/CT-Yale-2619/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW11	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-14	GLab team	[object Object]	
USA/CT-Yale-3634/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-07	GLab team	[object Object]	
USA/CT-Yale-4645/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	Fairfield	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-30	GLab team	[object Object]	
USA/CT-Yale-4043/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-12	GLab team	[object Object]	
USA/CT-Yale-3621/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-07	GLab team	[object Object]	
USA/CT-Yale-3437/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-05	GLab team	[object Object]	
USA/CT-Yale-3948/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	Fairfield	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-13	GLab team	[object Object]	
USA/CT-Yale-4592/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-27	GLab team	[object Object]	
USA/CT-Yale-4324/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-20	GLab team	[object Object]	
USA/CT-Yale-3375/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-27	GLab team	[object Object]	
USA/CT-Yale-4648/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-30	GLab team	[object Object]	
USA/CT-Yale-3631/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	Fairfield	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-06	GLab team	[object Object]	
USA/CT-Yale-4613/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-29	GLab team	[object Object]	
USA/CT-Yale-4115/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-19	GLab team	[object Object]	
USA/CT-Yale-4321/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	Fairfield	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-20	GLab team	[object Object]	
USA/CT-Yale-4031/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-12	GLab team	[object Object]	
USA/CT-Yale-4625/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-28	GLab team	[object Object]	
USA/CT-Yale-3015/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-24	GLab team	[object Object]	
USA/CT-Yale-3862/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	Fairfield	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-09	GLab team	[object Object]	
USA/CT-Yale-3803/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	Fairfield	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-10	GLab team	[object Object]	
USA/CT-JAX000785/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-02	GLab team	[object Object]	
USA/CT-JAX000674/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-31	GLab team	[object Object]	
USA/CT-JAX000281/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW10	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-09	GLab team	[object Object]	
USA/CT-Yale-3144/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-26	GLab team	[object Object]	
USA/CT-JAX000645/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-31	GLab team	[object Object]	
USA/CT-JAX000294/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW10	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-13	GLab team	[object Object]	
USA/CT-Yale-2684/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW11	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-18	GLab team	[object Object]	
USA/CT-Yale-3812/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-10	GLab team	[object Object]	
USA/CT-Yale-2904/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-22	GLab team	[object Object]	
USA/CT-Yale-2929/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-22	GLab team	[object Object]	
USA/CT-Yale-2891/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-22	GLab team	[object Object]	
USA/CT-Yale-4177/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-19	GLab team	[object Object]	
USA/CT-Yale-4595/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-27	GLab team	[object Object]	
USA/NC-Yale-3099/2021	VOC (B.1.1.7)	B.1.1.7	USA-Southeast	North Carolina	2021_EW12	North Carolina	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-25	GLab team	[object Object]	
USA/CT-Yale-3094/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-24	GLab team	[object Object]	
USA/CT-JAX000714/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-29	GLab team	[object Object]	
USA/CT-Yale-3323/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-28	GLab team	[object Object]	
USA/CT-Yale-4189/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-19	GLab team	[object Object]	
USA/CT-Yale-4153/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-19	GLab team	[object Object]	
USA/CT-Yale-3918/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-12	GLab team	[object Object]	
USA/CT-Yale-3677/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-07	GLab team	[object Object]	
USA/CT-Yale-3480/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-05	GLab team	[object Object]	
USA/CT-Yale-4428/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	Fairfield	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-23	GLab team	[object Object]	
USA/CT-JAX001046/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-16	GLab team	[object Object]	
USA/CT-Yale-3896/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-13	GLab team	[object Object]	
USA/CT-Yale-4159/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-20	GLab team	[object Object]	
USA/CT-Yale-3975/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-13	GLab team	[object Object]	
USA/CT-Yale-2547/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW10	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-12	GLab team	[object Object]	
USA/CT-Yale-2357/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW10	Fairfield	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-10	GLab team	[object Object]	
USA/CT-Yale-2355/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW10	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-10	GLab team	[object Object]	
USA/CT-Yale-2611/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW10	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-13	GLab team	[object Object]	
USA/CT-Yale-2610/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW10	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-13	GLab team	[object Object]	
USA/CT-Yale-2570/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW10	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-08	GLab team	[object Object]	
USA/CT-Yale-3327/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-29	GLab team	[object Object]	
USA/CT-Yale-2984/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-24	GLab team	[object Object]	
USA/CT-JAX001131/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-20	GLab team	[object Object]	
USA/CT-Yale-4692/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW18	Fairfield	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-04	GLab team	[object Object]	
USA/CT-Yale-4057/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-13	GLab team	[object Object]	
USA/CT-Yale-4197/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-19	GLab team	[object Object]	
USA/CT-Yale-4416/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-23	GLab team	[object Object]	
USA/CT-Yale-4582/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	Fairfield	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-27	GLab team	[object Object]	
USA/CT-Yale-4581/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-27	GLab team	[object Object]	
USA/CT-Yale-3988/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-13	GLab team	[object Object]	
USA/CT-JAX000245/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW10	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-12	GLab team	[object Object]	
USA/CT-Yale-2840/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-22	GLab team	[object Object]	
USA/CT-Yale-4514/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-26	GLab team	[object Object]	
USA/CT-Yale-4254/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-20	GLab team	[object Object]	
USA/CT-Yale-4436/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-23	GLab team	[object Object]	
USA/CT-Yale-4278/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-20	GLab team	[object Object]	
USA/CT-Yale-4271/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-20	GLab team	[object Object]	
USA/CT-Yale-4265/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-20	GLab team	[object Object]	
USA/CT-Yale-4217/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-20	GLab team	[object Object]	
USA/CT-Yale-2640/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW11	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-18	GLab team	[object Object]	
USA/CT-Yale-3175/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-27	GLab team	[object Object]	
USA/CT-Yale-4591/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-27	GLab team	[object Object]	
USA/CT-Yale-4188/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-19	GLab team	[object Object]	
USA/CT-Yale-4149/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-19	GLab team	[object Object]	
USA/CT-Yale-4657/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-30	GLab team	[object Object]	
USA/CT-Yale-3938/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-13	GLab team	[object Object]	
USA/CT-Yale-4646/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-01	GLab team	[object Object]	
USA/CT-Yale-4344/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	Middlesex	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-20	GLab team	[object Object]	
